Letter,Uppercase
a,A
b,B
d,D
e,E
ẹ,Ẹ
f,F
g,G
gb,GB
h,H
i,I
j,J
k,K
l,L
m,M
n,N
o,O
ọ,Ọ
p,P
r,R
s,S
ṣ,Ṣ
t,T
u,U
w,W
y,Y
