Letter,Uppercase
a,A
b,B
c,C
d,D
ɗ,Ɗ
e,E
f,F
g,G
h,H
i,I
j,J
k,K
ƙ,Ƙ
l,L
m,M
n,N
o,O
r,R
r̃,R̃
s,S
sh,Sh
t,T
ts,Ts
u,U
w,W
y,Y
ƴ,Ƴ
z,Z
',
