Letter,Uppercase
a,A
b,B
ch,CH
d,D
e,E
f,F
g,G
gb,GB
gw,GW
h,H
i,I
ị,Ị
j,J
k,K
kp,KP
kw,KW
l,L
m,M
n,N
ṅ,Ṅ
nw,NW
ny,NY
o,O
ọ,Ọ
p,P
r,R
s,S
sh,SH
t,T
u,U
ụ,Ụ
v,V
w,W
y,Y
z,Z
